modelo,-40,-31,-22,-13,-4,5,14,23,32,41,50
WEF-660,4291.0,4533.0,4774.0,5016,5257,5499,5740,5982,6223.0,6465.0,6706.0
WEF-1130,7422.2,7839.4,8256.6,8674,9091,9508,9925,10343,10759.8,11177.0,11594.2
WEF-1680,10819.0,11428.0,12036.0,12645,13253,13862,14470,15079,15687.0,16296.0,16904.0
WEF-2170,13769.3,14543.8,15318.3,16093,16867,17642,18416,19191,19965.3,20739.8,21514.3
